id,race_date,race_key,rank,pred_combo,n_combos,hit,payout,bet_amount,route,miwokuri,prerace_gami,trio_payout,gap23,trifecta_payout,gap12,gap34,gate_label,win_rank,ratio
826668,2026-05-29,20260529_81_05#7SS,RANK_7SS,"1=3-2,4,5,6,7 (score=5.16)",5,1,1980,500,wt,False,,1980,,0,,,,,
826669,2026-05-29,20260529_21_01#7SS,RANK_7SS,"2=1-3,4,5,6,7 (score=4.92)",5,1,2910,500,wt,False,,2910,,0,,,,,
826670,2026-05-29,20260529_21_05#7SS,RANK_7SS,"2=4-1,3,5,6,7 (score=5.75)",5,0,0,500,wt,False,,1450,,0,,,,,
826671,2026-05-29,20260529_21_06#7SS,RANK_7SS,"4=2-1,3,5,6,7 (score=5.42)",5,0,0,500,wt,False,,980,,0,,,,,
826672,2026-05-29,20260529_21_07#7SS,RANK_7SS,"4=7-1,2,3,5,6 (score=5.99)",5,0,0,500,wt,False,,3840,,0,,,,,
826673,2026-05-29,20260529_21_08#7SS,RANK_7SS,"1=4-2,3,5,6,7 (score=5.11)",5,0,0,500,wt,False,,1480,,0,,,,,
826674,2026-05-29,20260529_21_09#7SS,RANK_7SS,"4=5-1,2,3,6,7 (score=7.71)",5,0,0,500,wt,False,,2150,,0,,,,,
826675,2026-05-30,20260530_11_08#7SS,RANK_7SS,"4=7-1,2,3,5,6 (score=4.88)",5,1,160,500,wt,False,,160,,0,,,,,
826676,2026-05-30,20260530_87_02#7SS,RANK_7SS,"2=7-1,3,4,5,6 (score=6.48)",5,0,0,500,wt,False,,3900,,0,,,,,
826677,2026-05-30,20260530_87_03#7SS,RANK_7SS,"3=2-1,4,5,6,7 (score=7.02)",5,0,0,500,wt,False,,2370,,0,,,,,
826678,2026-05-30,20260530_37_06#7SS,RANK_7SS,"7=4-1,2,3,5,6 (score=9.20)",5,0,0,500,wt,False,,3150,,0,,,,,
826679,2026-05-30,20260530_37_07#7SS,RANK_7SS,"7=3-1,2,4,5,6 (score=10.45)",5,0,0,500,wt,False,,530,,0,,,,,
826680,2026-05-30,20260530_37_08#7SS,RANK_7SS,"7=4-1,2,3,5,6 (score=6.19)",5,0,0,500,wt,False,,680,,0,,,,,
826681,2026-05-30,20260530_37_09#7SS,RANK_7SS,"2=4-1,3,5,6,7 (score=7.29)",5,0,0,500,wt,False,,920,,0,,,,,
826682,2026-05-30,20260530_37_12#7SS,RANK_7SS,"5=1-2,3,4,6,7 (score=5.17)",5,0,0,500,wt,False,,8880,,0,,,,,
826683,2026-05-30,20260530_43_04#7SS,RANK_7SS,"4=7-1,2,3,5,6 (score=5.55)",5,1,380,500,wt,False,,380,,0,,,,,
826684,2026-05-30,20260530_12_02#7SS,RANK_7SS,"1=5-2,3,4,6,7 (score=6.24)",5,0,0,500,wt,False,,890,,0,,,,,
826685,2026-05-30,20260530_12_03#7SS,RANK_7SS,"1=2-3,4,5,6,7 (score=6.53)",5,0,0,500,wt,False,,2910,,0,,,,,
826686,2026-05-30,20260530_12_04#7SS,RANK_7SS,"1=2-3,4,5,6,7 (score=7.02)",5,0,0,500,wt,False,,670,,0,,,,,
826687,2026-05-30,20260530_81_02#7SS,RANK_7SS,"1=2-3,4,5,6,7 (score=6.79)",5,0,0,500,wt,False,,320,,0,,,,,
826688,2026-05-30,20260530_81_03#7SS,RANK_7SS,"1=3-2,4,5,6,7 (score=6.02)",5,0,0,500,wt,False,,400,,0,,,,,
826689,2026-05-30,20260530_62_03#7SS,RANK_7SS,"1=5-2,3,4,6,7 (score=6.07)",5,0,0,500,wt,False,,2490,,0,,,,,
826690,2026-05-30,20260530_62_06#7SS,RANK_7SS,"7=2-1,3,4,5,6 (score=6.60)",5,1,650,500,wt,False,,650,,0,,,,,
826691,2026-05-30,20260530_62_08#7SS,RANK_7SS,"5=4-1,2,3,6,7 (score=4.90)",5,0,0,500,wt,False,,750,,0,,,,,
826692,2026-05-31,20260531_36_05#7SS,RANK_7SS,"7=1-2,3,4,5,6 (score=6.18)",5,0,0,500,wt,False,,3540,,0,,,,,
826693,2026-05-31,20260531_36_07#7SS,RANK_7SS,"5=7-1,2,3,4,6 (score=6.46)",5,0,0,500,wt,False,,7730,,0,,,,,
826694,2026-05-31,20260531_56_03#7SS,RANK_7SS,"1=4-2,3,5,6,7 (score=4.96)",5,0,0,500,wt,False,,190,,0,,,,,
826695,2026-05-31,20260531_56_07#7SS,RANK_7SS,"1=5-2,3,4,6,7 (score=5.48)",5,0,0,500,wt,False,,1370,,0,,,,,
826696,2026-05-31,20260531_31_04#7SS,RANK_7SS,"4=1-2,3,5,6,7 (score=5.61)",5,1,660,500,wt,False,,660,,0,,,,,
826697,2026-05-31,20260531_31_06#7SS,RANK_7SS,"7=1-2,3,4,5,6 (score=5.24)",5,0,0,500,wt,False,,830,,0,,,,,
826698,2026-05-31,20260531_31_11#7SS,RANK_7SS,"5=3-1,2,4,6,7 (score=5.99)",5,1,500,500,wt,False,,500,,0,,,,,
826699,2026-05-31,20260531_11_08#7SS,RANK_7SS,"3=2-1,4,5,6,7 (score=8.04)",5,0,0,500,wt,False,,2110,,0,,,,,
826700,2026-04-01,20260401_24_04#7SS,RANK_7SS,"1=2-3,4,5,6,7 (score=6.65)",5,1,1360,500,wt,False,,1360,,0,,,,,
826701,2026-04-01,20260401_24_07#7SS,RANK_7SS,"1=3-2,4,5,6,7 (score=7.03)",5,0,0,500,wt,False,,1060,,0,,,,,
826702,2026-04-01,20260401_42_03#7SS,RANK_7SS,"1=2-3,4,5,6,7 (score=5.32)",5,0,0,500,wt,False,,340,,0,,,,,
